

			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:24:41	2000	3000	662	3974	3627	0.97761	8.06987	1.43483		
04:24:51	2000	3000	1339	4065	3626	0.97810	8.07015	1.43568		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)



			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:27:03	2000	3000	683	4099	3627	0.97828	8.06970	1.43589		
04:27:13	2000	3000	1370	4121	3628	0.97840	8.06866	1.43589		
04:27:23	2000	3000	2043	4038	3630	0.97796	8.06899	1.43524		
04:27:33	2000	3000	2733	4144	3631	0.97851	8.06845	1.43604		
04:27:43	2000	3000	3333	4125	3632	0.97842	8.06845	1.43588		
04:27:53	2000	3000	3333	4050	3639	0.97802	8.06750	1.43508		
04:28:03	2000	3000	3333	4198	3638	0.97879	8.06697	1.43622		
04:28:13	2000	3000	3333	4288	3636	0.97923	8.06610	1.43677		
04:28:23	2000	3000	3333	4197	3634	0.97879	8.06521	1.43590		
04:28:33	2000	3000	3333	4132	3635	0.97846	8.06517	1.43536		
04:28:43	2000	3000	3333	4164	3637	0.97862	8.06553	1.43569		
04:28:53	2000	3000	3333	4191	3636	0.97875	8.06606	1.43600		
04:29:03	2000	3000	3333	4194	3639	0.97877	8.06611	1.43603		
04:29:13	2000	3000	3333	4201	3640	0.97880	8.06561	1.43600		
04:29:23	2000	3000	3333	4149	3638	0.97854	8.06614	1.43567		
04:29:33	2000	3000	3333	4216	3639	0.97888	8.06641	1.43626		
04:29:43	2000	3000	3333	4019	3646	0.97785	8.06595	1.43453		
04:29:53	2000	3000	3333	4045	3641	0.97799	8.06519	1.43462		
04:30:03	2000	3000	3333	4155	3642	0.97857	8.06535	1.43558		
04:30:13	2000	3000	3333	4178	3641	0.97869	8.06601	1.43589		
04:30:23	2000	3000	3333	4205	3642	0.97883	8.06637	1.43617		
04:30:33	2000	3000	3333	4199	3642	0.97880	8.06618	1.43609		
04:30:44	2000	3000	3333	4181	3642	0.97870	8.06676	1.43604		
04:30:54	2000	3000	3333	4160	3641	0.97860	8.06766	1.43603		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:31:40	2000	3000	690	4140	3640	0.97850	8.06666	1.43569		
04:31:50	2000	3000	1356	4001	3639	0.97775	8.06764	1.43467		
04:32:00	2000	3000	2050	4163	3638	0.97861	8.06794	1.43611		
04:32:10	2000	3000	2718	4005	3638	0.97778	8.06861	1.43488		
04:32:20	2000	3000	3333	3979	3637	0.97763	8.06951	1.43481		
04:32:30	2000	3000	3333	4049	3636	0.97802	8.06936	1.43540		
04:32:40	2000	3000	3333	3916	3637	0.97728	8.06761	1.43390		
04:32:50	2000	3000	3333	4141	3635	0.97850	8.06751	1.43585		
04:33:00	2000	3000	3333	4098	3634	0.97828	8.06843	1.43565		
04:33:10	2000	3000	3333	4014	3634	0.97783	8.06898	1.43503		
04:33:20	2000	3000	3333	3995	3632	0.97772	8.06757	1.43461		
04:33:30	2000	3000	3333	4150	3630	0.97854	8.06773	1.43596		
04:33:40	2000	3000	3333	4145	3629	0.97852	8.06834	1.43603		
04:33:50	2000	3000	3333	4134	3628	0.97846	8.06773	1.43583		
04:34:00	2000	3000	3333	4137	3627	0.97848	8.06946	1.43616		
04:34:10	2000	3000	3333	4231	3627	0.97895	8.06988	1.43700		
04:34:21	2000	3000	3333	4137	3626	0.97848	8.06912	1.43610		
04:34:31	2000	3000	3333	4181	3626	0.97870	8.07125	1.43684		
04:34:41	2000	3000	3333	4089	3626	0.97823	8.07051	1.43595		
04:34:51	2000	3000	3333	4072	3625	0.97814	8.07278	1.43621		
04:35:01	2000	3000	3333	4080	3624	0.97819	8.07155	1.43606		
04:35:11	2000	3000	3333	4035	3624	0.97794	8.07225	1.43579		
04:35:21	2000	3000	3333	4176	3624	0.97868	8.07026	1.43663		
04:35:31	2000	3000	3333	4041	3622	0.97798	8.07131	1.43568		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:37:05	2000	3000	672	4034	3618	0.97793	8.07174	1.43569		
04:37:15	2000	3000	1348	4056	3617	0.97805	8.07161	1.43586		
04:37:25	2000	3000	2055	4240	3631	0.97900	8.06975	1.43705		
04:37:35	2000	2700	2520	2795	3637	0.96831	8.06766	1.41946		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:38:18	2000	3000	694	4169	3625	0.97864	8.07218	1.43691		
04:38:28	2000	3000	1379	4106	3619	0.97832	8.07283	1.43650		
04:38:38	2000	3000	2043	3984	3617	0.97767	8.07199	1.43530		
04:38:48	2000	3000	2735	4154	3617	0.97857	8.06996	1.43639		
04:38:58	2000	3000	3333	4237	3617	0.97898	8.06764	1.43665		
04:39:08	2000	3000	3333	4477	3618	0.98010	8.06781	1.43848		
04:39:18	2000	3000	3333	4011	3619	0.97781	8.07005	1.43519		
04:39:28	2000	3000	3333	4180	3619	0.97870	8.07189	1.43695		
04:39:38	2000	3000	3333	3842	3620	0.97685	8.07294	1.43415		
04:39:48	2000	3000	3333	4072	3621	0.97814	8.07149	1.43598		
04:39:58	2000	3000	3333	4100	3621	0.97829	8.06987	1.43593		
04:40:08	2000	3000	3333	4055	3622	0.97805	8.06935	1.43545		
04:40:18	2000	3000	3333	4225	3623	0.97892	8.07014	1.43700		
04:40:28	2000	3000	3333	3871	3622	0.97702	8.07154	1.43418		
04:40:38	2000	3000	3333	3886	3623	0.97711	8.07267	1.43452		
04:40:48	2000	3000	3333	3959	3624	0.97753	8.07129	1.43495		
04:40:58	2000	3000	3333	4046	3624	0.97800	8.06894	1.43530		
04:41:08	2000	3000	3333	4053	3624	0.97804	8.06948	1.43546		
04:41:18	2000	3000	3333	3997	3633	0.97773	8.07423	1.43581		
04:41:28	2000	3000	3333	3930	3637	0.97736	8.07554	1.43544		
04:41:38	2000	3000	3333	3920	3623	0.97730	8.07242	1.43479		
04:41:48	2000	3000	3333	4017	3622	0.97785	8.07131	1.43547		
04:41:58	2000	3000	3333	3964	3621	0.97755	8.07189	1.43510		
04:42:08	2000	3000	3333	3916	3620	0.97728	8.07468	1.43516		
04:42:18	2000	3000	3333	4097	3620	0.97827	8.07514	1.43684		
04:42:28	2000	3000	3333	4005	3621	0.97778	8.07168	1.43543		
04:42:38	2000	3000	3333	4031	3622	0.97792	8.07159	1.43564		
04:42:48	2000	3000	3333	3991	3622	0.97770	8.07404	1.43572		
04:42:58	2000	3000	3333	3990	3620	0.97769	8.07572	1.43601		
04:43:08	2000	3000	3333	3922	3620	0.97731	8.07309	1.43493		
04:43:18	2000	3000	3333	4095	3619	0.97826	8.07102	1.43609		
04:43:28	2000	3000	3333	3976	3619	0.97762	8.07473	1.43571		
04:43:38	2000	3000	3333	3947	3619	0.97745	8.07537	1.43556		
04:43:48	2000	3000	3333	4082	3618	0.97820	8.07123	1.43602		
04:43:58	2000	3000	3333	4030	3618	0.97791	8.07244	1.43578		
04:44:08	2000	3000	3333	4328	3618	0.97942	8.07594	1.43883		
04:44:18	2000	3000	3333	3994	3618	0.97772	8.07423	1.43578		
04:44:28	2000	3000	3333	3887	3618	0.97711	8.07116	1.43426		
04:44:38	2000	3000	3333	3658	3619	0.97570	8.07408	1.43250		
04:44:48	2000	3000	3333	3977	3620	0.97762	8.07551	1.43586		
04:44:58	2000	3000	3333	4042	3621	0.97798	8.07159	1.43574		
04:45:08	2000	3000	3333	4029	3623	0.97791	8.07242	1.43577		
04:45:18	2000	3000	3333	3839	3627	0.97683	8.07618	1.43470		
04:45:28	2000	3000	3333	3868	3627	0.97700	8.07380	1.43455		
04:45:38	2000	3000	3333	3855	3627	0.97693	8.07234	1.43417		
04:45:48	2000	3000	3333	3917	3629	0.97729	8.07577	1.43536		
04:45:58	2000	3000	3333	3951	3631	0.97748	8.07485	1.43551		
