

			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:24:41	2000	3000	1659	9955	1735	0.99100	3.77623	2.49037		
04:24:51	2000	3000	3318	9955	1735	0.99100	3.77571	2.49716		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)



			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:27:03	2000	3000	1659	9955	1735	0.99100	3.77436	2.48013		
04:27:13	2000	3000	3318	9955	1735	0.99100	3.77458	2.48007		
04:27:23	2000	3000	3333	9955	1734	0.99100	3.77484	2.48003		
04:27:33	2000	3000	3333	9955	1734	0.99100	3.77544	2.47176		
04:27:43	2000	3000	3333	9955	1734	0.99100	3.77448	2.47689		
04:27:53	2000	3000	3333	9955	1733	0.99100	3.77424	2.47251		
04:28:03	2000	3000	3333	9955	1733	0.99100	3.77408	2.47715		
04:28:13	2000	3000	3333	9955	1732	0.99100	3.77437	2.47256		
04:28:23	2000	3000	3333	9955	1732	0.99100	3.77365	2.47142		
04:28:33	2000	3000	3333	9955	1732	0.99100	3.77367	2.46992		
04:28:43	2000	3000	3333	9955	1732	0.99100	3.77426	2.46494		
04:28:53	2000	3000	3333	9955	1731	0.99100	3.77447	2.46068		
04:29:03	2000	3000	3333	9955	1731	0.99100	3.77481	2.45715		
04:29:13	2000	3000	3333	9955	1731	0.99100	3.77453	2.46055		
04:29:23	2000	3000	3333	9955	1731	0.99100	3.77483	2.45967		
04:29:33	2000	3000	3333	9955	1731	0.99100	3.77412	2.46172		
04:29:43	2000	3000	3333	9955	1731	0.99100	3.77481	2.46685		
04:29:53	2000	3000	3333	9955	1731	0.99100	3.77488	2.46188		
04:30:03	2000	3000	3333	9955	1731	0.99100	3.77416	2.46860		
04:30:13	2000	3000	3333	9955	1731	0.99100	3.77311	2.47604		
04:30:23	2000	3000	3333	9955	1730	0.99100	3.77416	2.48462		
04:30:33	2000	3000	3333	9955	1730	0.99100	3.77501	2.48361		
04:30:43	2000	3000	3333	9955	1730	0.99100	3.77475	2.47352		
04:30:53	2000	3000	3333	9955	1730	0.99100	3.77306	2.47935		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:31:40	2000	3000	1659	9955	1729	0.99100	3.77323	2.48536		
04:31:50	2000	3000	3318	9955	1728	0.99100	3.77294	2.48634		
04:32:00	2000	3000	3333	9955	1727	0.99100	3.77308	2.48771		
04:32:10	2000	3000	3333	9955	1726	0.99100	3.77251	2.48370		
04:32:20	2000	3000	3333	9955	1726	0.99100	3.77310	2.48846		
04:32:30	2000	3000	3333	9955	1726	0.99100	3.77267	2.48095		
04:32:40	2000	3000	3333	9955	1725	0.99100	3.77331	2.48660		
04:32:50	2000	3000	3333	9955	1725	0.99100	3.77209	2.48626		
04:33:00	2000	3000	3333	9955	1724	0.99100	3.77253	2.48696		
04:33:10	2000	3000	3333	9955	1724	0.99100	3.77241	2.50140		
04:33:20	2000	3000	3333	9955	1723	0.99100	3.77263	2.49731		
04:33:30	2000	3000	3333	9955	1722	0.99100	3.77182	2.50436		
04:33:40	2000	3000	3333	9955	1721	0.99100	3.77118	2.49972		
04:33:50	2000	3000	3333	9955	1721	0.99100	3.77090	2.47569		
04:34:00	2000	3000	3333	9955	1720	0.99100	3.77039	2.49205		
04:34:10	2000	3000	3333	9955	1719	0.99100	3.77015	2.49466		
04:34:21	2000	3000	3333	9955	1718	0.99100	3.77082	2.48994		
04:34:31	2000	3000	3333	9955	1717	0.99100	3.77154	2.48359		
04:34:41	2000	3000	3333	9955	1716	0.99100	3.77057	2.48051		
04:34:51	2000	3000	3333	9955	1715	0.99100	3.77142	2.48238		
04:35:01	2000	3000	3333	9955	1715	0.99100	3.77117	2.47581		
04:35:11	2000	3000	3333	9955	1715	0.99100	3.77053	2.47547		
04:35:21	2000	3000	3333	9955	1714	0.99100	3.77135	2.47955		
04:35:31	2000	3000	3333	9955	1714	0.99100	3.77088	2.46405		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:37:04	2000	3000	1659	9955	1705	0.99100	3.77056	2.50777		
04:37:14	2000	3000	3318	9955	1704	0.99100	3.77009	2.52057		
04:37:24	2000	3000	3333	9955	1703	0.99100	3.76937	2.51868		
04:37:34	2000	3000	3333	9955	1702	0.99100	3.76877	2.51452		


			DELHI AIRPORT : 30 m Base line


Time	RVR	 MOR	RVR	MOR	BLM	Trf	 Ref(v)	PD(v)
	(limited)	(limited)	(actual)	(actual)

04:38:18	2000	3000	1659	9955	1698	0.99100	3.76869	2.49993		
04:38:28	2000	3000	3318	9955	1698	0.99100	3.76962	2.50642		
04:38:38	2000	3000	3333	9955	1697	0.99100	3.76912	2.52095		
04:38:48	2000	3000	3333	9955	1697	0.99100	3.76892	2.53341		
04:38:58	2000	3000	3333	9955	1696	0.99100	3.76923	2.53334		
04:39:08	2000	3000	3333	9955	1695	0.99100	3.76898	2.54033		
04:39:18	2000	3000	3333	9955	1695	0.99100	3.76830	2.53240		
04:39:28	2000	3000	3333	9955	1695	0.99100	3.76895	2.51425		
04:39:38	2000	3000	3333	9955	1694	0.99100	3.76935	2.51459		
04:39:48	2000	3000	3333	9955	1694	0.99100	3.76964	2.51570		
04:39:58	2000	3000	3333	9955	1694	0.99100	3.76916	2.51458		
04:40:08	2000	3000	3333	9955	1694	0.99100	3.76791	2.51317		
04:40:18	2000	3000	3333	9955	1694	0.99100	3.76696	2.52102		
04:40:28	2000	3000	3333	9955	1694	0.99100	3.76849	2.53149		
04:40:38	2000	3000	3333	9955	1694	0.99100	3.76702	2.53315		
04:40:48	2000	3000	3333	9955	1694	0.99100	3.76753	2.52377		
04:40:58	2000	3000	3333	9955	1694	0.99100	3.76730	2.51954		
04:41:08	2000	3000	3333	9955	1695	0.99100	3.76682	2.51640		
04:41:18	2000	3000	3333	9955	1696	0.99100	3.76697	2.52782		
04:41:28	2000	3000	3333	9955	1698	0.99100	3.76821	2.55267		
04:41:38	2000	3000	3333	9955	1699	0.99100	3.76690	2.53519		
04:41:48	2000	3000	3333	9955	1700	0.99100	3.76803	2.52975		
04:41:58	2000	3000	3333	9955	1701	0.99100	3.76679	2.53631		
04:42:08	2000	3000	3333	9955	1701	0.99100	3.76784	2.53081		
04:42:18	2000	3000	3333	9955	1702	0.99100	3.76827	2.52044		
04:42:28	2000	3000	3333	9955	1704	0.99100	3.76769	2.52002		
04:42:38	2000	3000	3333	9955	1705	0.99100	3.76775	2.52158		
04:42:48	2000	3000	3333	9955	1707	0.99100	3.76812	2.50615		
04:42:58	2000	3000	3333	9955	1708	0.99100	3.76825	2.51935		
04:43:08	2000	3000	3333	9955	1709	0.99100	3.76591	2.52488		
04:43:18	2000	3000	3333	9955	1710	0.99100	3.76600	2.50838		
04:43:28	2000	3000	3333	9955	1711	0.99100	3.76646	2.51133		
04:43:38	2000	3000	3333	9955	1712	0.99100	3.76607	2.50737		
04:43:48	2000	3000	3333	9955	1713	0.99100	3.76672	2.50709		
04:43:58	2000	3000	3333	9955	1714	0.99100	3.76679	2.49976		
04:44:08	2000	3000	3333	9955	1714	0.99100	3.76554	2.50542		
04:44:18	2000	3000	3333	9955	1714	0.99100	3.76680	2.50352		
04:44:28	2000	3000	3333	9955	1715	0.99100	3.76563	2.51103		
04:44:38	2000	3000	3333	9955	1715	0.99100	3.76600	2.50384		
04:44:48	2000	3000	3333	9955	1716	0.99100	3.76598	2.51354		
04:44:58	2000	3000	3333	9955	1718	0.99100	3.76591	2.50708		
04:45:08	2000	3000	3333	9955	1718	0.99100	3.76563	2.50901		
04:45:18	2000	3000	3333	9955	1719	0.99100	3.76550	2.48898		
04:45:28	2000	3000	3333	9955	1720	0.99100	3.76637	2.49667		
04:45:38	2000	3000	3333	9955	1721	0.99100	3.76391	2.50295		
04:45:48	2000	3000	3333	9955	1722	0.99100	3.76486	2.50746		
04:45:58	2000	3000	3333	9955	1722	0.99100	3.76399	2.51042		
